"Var1","Apical_Buds_0h_R2","Apical_Buds_0h_R3","Axillary_Buds_2h_R2","Apical_Buds_2h_R4","Axillary_Buds_2h_R1","Axillary_Buds_2h_R3","Apical_Buds_2h_R1","Apical_Buds_2h_R2","Axillary_Buds_0h_R1","Axillary_Buds_0h_R2","Axillary_Buds_0h_R3"
"A0A9D4WRL9_PEA",19.7394367361714,19.4904075391515,20.1102294569989,19.8380710725914,20.1102294569989,19.8795305456544,19.316854109095,19.2942618282718,20.1086827051946,20.873361569008,21.0406539131739
"A0A9D4WRN2_PEA.1",20.6159136704801,20.2908962605302,21.7450285385241,20.6706938571984,21.7450285385241,21.8740589975417,19.9568134285853,20.1546135581782,20.1208955958496,20.0398865382562,19.4194088576235
"A0A9D4WRP5_PEA",22.1536236720201,22.7423285728969,20.3340008230936,22.0873489067689,20.3340008230936,20.0281628835035,22.5750918796652,22.3038549630847,20.842687815662,21.0782594518401,21.3724736359388
"A0A9D4WRQ1_PEA",17.671620667552,18.8275130588558,19.1293128659637,18.4597373626315,19.1293128659637,18.6613017256493,18.4001511763332,18.8268442292569,19.6421123230818,19.6156992237372,19.7716085528095
"A0A9D4WRU2_PEA",17.1132241435355,19.6338967414371,18.9026588363914,17.6961412220295,18.9026588363914,17.9504652388626,18.4931280296798,18.0032710076027,15.3513190694565,15.2199867884247,15.4270194648866
"A0A9D4WS58_PEA",19.197118967541,19.1691924113317,17.9970176374268,18.5583218476475,17.9970176374268,18.8378215971697,18.7210779110759,18.0068474766474,17.6683181239598,17.8462438711666,17.7745190864661
"A0A9D4WS63_PEA",20.5601392081353,20.4647832928528,21.1118459885465,20.5950168001911,21.1118459885465,20.9573002199057,21.0175692776834,20.8137312266958,21.095298475432,21.1779346390877,21.3390577072241
"A0A9D4WS67_PEA",20.6152246064176,20.6527567733793,20.5442544741062,20.7869156138451,20.5442544741062,20.3538204892687,20.7638740715801,20.7396188930494,21.5505748906868,21.4529241261647,21.3893095278998
"A0A9D4WS68_PEA",19.7886562152035,20.0130002302193,21.3271353622848,20.1888694958518,21.3271353622848,20.9874294027718,19.9624877111442,19.9344429399007,20.8407973861997,21.1584007939032,20.9813397016425
"A0A9D4WS95_PEA",22.4017518773103,22.4941561008811,21.1670907349544,22.86298648604,21.1670907349544,21.0259380568321,22.9880703835792,22.7508538759929,20.8160293294019,19.8311964952308,19.9268140365877
